article_id,source_id,source_item_key,source_entry_id,case_ids,title,canonical_url,language,published_date,content_type,discovery_status,selection_status,rights_review_id,rights_status,capture_status,boundary_status,pipeline_status,current_stage,last_run_id,machine_review_status,human_review_status,assigned_to,last_checked_at,notes
SRC0001-ART000001,SRC0001,卷九:往生女人第九:陈妪,ENT000001,CASE000001,陈妪,https://www.dazhouxian.com/dzz/Html/X78n1549.html,zh-Hans,,book_entry,discovered,selected,RR0005,public_domain_verified,verified,machine_checked,completed,,RUN-ENT000001-M2A-T02V02-ENT000001-CAND0001,passed,not_reviewed,,2026-09-21,M2A Pipeline 0.1.1 baseline retained; Pipeline 0.2.0 migration replay completed after owner-approved CASE000001 identity reuse.
SRC0001-ART000002,SRC0001,卷九:往生女人第九:卢氏,ENT000006,CASE000006,卢氏,https://www.dazhouxian.com/dzz/Html/X78n1549.html#:~:text=卢氏。名智福,zh-Hans,,book_entry,discovered,selected,RR0005,public_domain_verified,verified,script_extracted,completed,,RUN-ENT000006-M2B-01-ENT000006-CAND0001,passed,not_reviewed,,2026-09-22,"M2B unseen-sample test (ordinary single biography): 卢氏名智福, 程李清妻; distinct person from CASE000001 陈妪."
SRC0001-ART000003,SRC0001,卷九:往生女人第九:温静文妻,ENT000007,CASE000007;CASE000008;CASE000009,温静文妻,https://www.dazhouxian.com/dzz/Html/X78n1549.html#:~:text=温静文妻。并州人,zh-Hans,,book_entry,discovered,selected,RR0005,public_domain_verified,verified,script_extracted,completed,,RUN-ENT000007-M2B-01-ENT000007-CAND0003,passed,not_reviewed,,2026-09-22,M2B unseen-sample test (multi-case): extracted entry text contains three biographies (温静文妻、钟离夫人任氏、越国夫人王氏); extractor did not split inner headings.
SRC0001-ART000004,SRC0001,卷首:净土圣贤录叙,ENT000008,,净土圣贤录叙,https://www.dazhouxian.com/dzz/Html/X78n1549.html#:~:text=至哉净土之教,zh-Hans,,book_entry,discovered,selected,RR0005,public_domain_verified,verified,script_extracted,completed,,RUN-ENT000008-M2B-01,passed,not_reviewed,,2026-09-22,"M2B unseen-sample test (zero-case): 彭际清撰叙文, doctrinal front matter, expected zero case candidates."
SRC0001-ART000005,SRC0001,卷九:往生雜流第八:張鍾馗,ENT000272,,張鍾馗,https://cbetaonline.dila.edu.tw/zh/X78n1549#SRC0001:卷九:往生雜流第八:張鍾馗:8c9c50082805,zh-Hant,,book_entry,discovered,unreviewed,RR0005,public_domain_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0001-ART000006,SRC0001,卷九:往生雜流第八:張善和,ENT000273,,張善和,https://cbetaonline.dila.edu.tw/zh/X78n1549#SRC0001:卷九:往生雜流第八:張善和:6e2ae785a305,zh-Hant,,book_entry,discovered,unreviewed,RR0005,public_domain_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0001-ART000007,SRC0001,卷九:往生雜流第八:金󳮡,ENT000274,,金󳮡,https://cbetaonline.dila.edu.tw/zh/X78n1549#SRC0001:卷九:往生雜流第八:金󳮡:cc5c46ed7a01,zh-Hant,,book_entry,discovered,unreviewed,RR0005,public_domain_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0001-ART000008,SRC0001,卷九:往生雜流第八:馮氓,ENT000275,,馮氓,https://cbetaonline.dila.edu.tw/zh/X78n1549#SRC0001:卷九:往生雜流第八:馮氓:1e2b29ae46c1,zh-Hant,,book_entry,discovered,unreviewed,RR0005,public_domain_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0001-ART000009,SRC0001,卷九:往生雜流第八:吳瓊,ENT000276,,吳瓊,https://cbetaonline.dila.edu.tw/zh/X78n1549#SRC0001:卷九:往生雜流第八:吳瓊:c05fa8bc2650,zh-Hant,,book_entry,discovered,unreviewed,RR0005,public_domain_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0001-ART000010,SRC0001,卷九:往生雜流第八:李彥通,ENT000277,,李彥通,https://cbetaonline.dila.edu.tw/zh/X78n1549#SRC0001:卷九:往生雜流第八:李彥通:c0538ab76c38,zh-Hant,,book_entry,discovered,unreviewed,RR0005,public_domain_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
